date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:35	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:11:36%20GMT	http://www.sympulsefest.com/robots.txt		(from )
00:41:36	34772/34772	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jan%202019%2014:50:09%20GMT	http://www.sympulsefest.com/	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/index.html	(from )
00:41:36	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2015%20Feb%202019%2019:11:38%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/impulse2019/www.googletagmanager.com/gtm.05445.delayed	(from http://www.sympulsefest.com/)
00:41:38	147647/147647	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Sep%202018%2011:07:29%20GMT	http://www.sympulsefest.com/css/bootstrap.min.css	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/css/bootstrap.min.css	(from http://www.sympulsefest.com/)
00:41:38	78755/78755	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Sep%202018%2011:07:38%20GMT	http://www.sympulsefest.com/css/style.css	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/css/style.css	(from http://www.sympulsefest.com/)
00:41:40	34326/34326	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Dec%202018%2010:35:50%20GMT	http://www.sympulsefest.com/img/team/favicon.png	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/img/team/favicon.png	(from http://www.sympulsefest.com/)
00:41:40	72922/72922	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Sep%202018%2011:07:27%20GMT	http://www.sympulsefest.com/css/animate.css	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/css/animate.css	(from http://www.sympulsefest.com/)
00:41:42	7067/7067	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Sep%202018%2011:07:29%20GMT	http://www.sympulsefest.com/css/et-line.css	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/css/et-line.css	(from http://www.sympulsefest.com/)
00:41:42	23739/23739	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Sep%202018%2011:07:30%20GMT	http://www.sympulsefest.com/css/font-awesome.min.css	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/css/font-awesome.min.css	(from http://www.sympulsefest.com/)
00:41:43	5954/5954	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Sep%202018%2011:07:34%20GMT	http://www.sympulsefest.com/css/owl.carousel.css	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/css/owl.carousel.css	(from http://www.sympulsefest.com/)
